name,link,date
Letter to the House Committee on Veterans’ Affairs urging them to oppose H.R. 1994,ww.aflcio.org/Legislation-and-Politics/Legislative-Alerts/Letter-to-the-House-Committee-on-Veterans-Affairs-urging-them-to-oppose-H.R.-1994,"June 24, 2015"
Letter to Senators in support of the James Zadroga 9/11 Health and Compensation Reauthorization,ww.aflcio.org/Legislation-and-Politics/Legislative-Alerts/Letter-to-Senators-in-support-of-the-James-Zadroga-9-11-Health-and-Compensation-Reauthorization,"September 14, 2015"
Letter to House Transportation Committee commending its efforts in crafting the Surface Transportation Reauthorization and Reform Act,ww.aflcio.org/Legislation-and-Politics/Legislative-Alerts/Letter-to-House-Transportation-Committee-commending-its-efforts-in-crafting-the-Surface-Transportation-Reauthorization-and-Reform-Act,"October 21, 2015"
"Letter to Representatives in opposition to H.R. 185, the Regulatory Accountability Act of 2015",ww.aflcio.org/Legislation-and-Politics/Legislative-Alerts/Letter-to-Representatives-in-opposition-to-H.R.-185-the-Regulatory-Accountability-Act-of-2015,"January 13, 2015"
Letter to Representatives urging opposition to the Restoring Americans' Healthcare Freedom Reconciliation Act,ww.aflcio.org/Legislation-and-Politics/Legislative-Alerts/Letter-to-Representatives-urging-opposition-to-the-Restoring-Americans-Healthcare-Freedom-Reconciliation-Act,"October 22, 2015"
Letter to Senators urging them to support the following National Defense Authorization Act amendments,ww.aflcio.org/Legislation-and-Politics/Legislative-Alerts/Letter-to-Senators-urging-them-to-support-the-following-National-Defense-Authorization-Act-amendments,"June 10, 2015"
Letter to Representatives expressing opposition to H.R. 50 and H.R. 527,ww.aflcio.org/Legislation-and-Politics/Legislative-Alerts/Letter-to-Representatives-expressing-opposition-to-H.R.-50-and-H.R.-527,"February 03, 2015"
Letter to Senators urging the swift confirmation of Loretta E. Lynch as Attorney General,ww.aflcio.org/Legislation-and-Politics/Legislative-Alerts/Letter-to-Senators-urging-the-swift-confirmation-of-Loretta-E.-Lynch-as-Attorney-General,"March 16, 2015"
Letter to Representatives urging them to oppose the Tribal Labor Sovereignty Act (H.R. 511),ww.aflcio.org/Legislation-and-Politics/Legislative-Alerts/Letter-to-Representatives-urging-them-to-oppose-the-Tribal-Labor-Sovereignty-Act-H.R.-511,"June 04, 2015"
"Letter to Representatives urging them to oppose the “Fast Track 2015” legislation and support the alternative ""Right Track for TPP Act of 2015""",ww.aflcio.org/Legislation-and-Politics/Legislative-Alerts/Letter-to-Representatives-urging-them-to-oppose-the-Fast-Track-2015-legislation-and-support-the-alternative-Right-Track-for-TPP-Act-of-2015,"April 23, 2015"
Letter to Senators urging them not to co-sponsor the Immigration Innovation Act of 2015 (S. 153),ww.aflcio.org/Legislation-and-Politics/Legislative-Alerts/Letter-to-Senators-urging-them-not-to-co-sponsor-the-Immigration-Innovation-Act-of-2015-S.-153,"January 20, 2015"
"Letter to Representatives urging them to oppose H.R. 1090, the misnamed “Retail Investor Protection Act,”",ww.aflcio.org/Legislation-and-Politics/Legislative-Alerts/Letter-to-Representatives-urging-them-to-oppose-H.R.-1090-the-misnamed-Retail-Investor-Protection-Act,"April 15, 2015"
"Letter to Senators urging them to oppose ""Fast Track 2015"" legislation",ww.aflcio.org/Legislation-and-Politics/Legislative-Alerts/Letter-to-Senators-urging-them-to-oppose-Fast-Track-2015-legislation,"April 22, 2015"
Letter to Senators in support of The Social Security Earned Payment Act of 2015,ww.aflcio.org/Legislation-and-Politics/Legislative-Alerts/Letter-to-Senators-in-support-of-The-Social-Security-Earned-Payment-Act-of-2015,"September 30, 2015"
Letter to Senators urging them to pass a clean funding bill for the Department of Homeland Security,ww.aflcio.org/Legislation-and-Politics/Legislative-Alerts/Letter-to-Senators-urging-them-to-pass-a-clean-funding-bill-for-the-Department-of-Homeland-Security,"February 02, 2015"
